timestep,buyer,seller,price,quantity
343,BotB,MomBot2,67353.690000,1
344,BotC,BotC,67357.690000,1
347,MomBot1,MomBot2,67176.750000,1
349,MomBot2,MomBot1,67189.000000,1
350,BotC,MomBot2,67137.070000,1
352,MomBot2,MomBot1,67017.380000,1
353,MomBot2,MomBot2,67017.380000,1
354,MomBot1,MomBot1,66847.850000,1
355,MomBot1,MomBot2,66847.850000,1
357,BotB,MomBot1,66510.170000,1
358,BotC,MomBot2,66510.170000,1
360,MomBot2,MomBot2,66305.830000,1
362,BotC,MomBot1,66275.330000,1
363,MomBot2,MomBot2,66275.330000,1
364,MomBot2,BotB,66279.330000,1
365,BotC,BotC,66279.330000,1
367,MomBot2,MomBot1,66091.370000,1
368,MomBot2,MomBot2,66091.370000,1
371,MomBot1,MomBot1,65926.110000,1
372,MomBot2,MomBot2,65926.110000,1
375,BotB,MomBot1,65831.880000,1
376,RSIBot1,MomBot2,65831.880000,1
378,MomBot1,MomBot1,65634.330000,1
379,MomBot2,MomBot2,65634.330000,1
381,BotC,MomBot1,65542.520000,1
382,MomBot2,MomBot2,65542.520000,1
384,MomBot1,MomBot1,65449.590000,1
385,MomBot2,MomBot2,65449.590000,1
387,RSIBot1,MomBot1,65515.930000,1
388,RSIBot1,MomBot2,65515.930000,1
392,MomBot1,MomBot2,65775.970000,1
396,MomBot2,MomBot2,66052.200000,1
400,RSIBot1,MomBot2,65808.810000,1
401,MomBot1,BotB,65812.810000,1
405,RSIBot1,BotB,65725.930000,1
408,BotB,MomBot1,65609.830000,1
410,MomBot2,MomBot1,65798.250000,1
412,MomBot2,MomBot1,65538.560000,1
413,BotB,MomBot2,65538.560000,1
414,BotC,BotC,65542.560000,1
415,RSIBot1,MomBot1,65504.140000,1
416,BotC,MomBot2,65504.140000,1
418,MomBot2,MomBot1,65653.850000,1
419,MomBot1,MomBot2,65653.850000,1
420,MomBot2,BotC,65657.850000,1
422,RSIBot1,MomBot2,65626.250000,1
425,MomBot2,MomBot2,65947.490000,1
435,MomBot1,BotC,66337.860000,1
436,MomBot1,BotC,66428.550000,1
442,MomBot2,RSIBot1,66437.250000,1
446,MomBot1,BotB,66421.670000,1
449,MomBot2,MomBot1,66385.010000,1
450,BotC,RSIBot1,66385.010000,1
453,MomBot2,MomBot1,66399.350000,1
454,MomBot1,RSIBot1,66399.350000,1
461,MomBot1,MomBot2,66351.730000,1
462,MomBot2,RSIBot1,66351.730000,1
465,MomBot2,MomBot1,66123.120000,1
466,BotC,MomBot2,66123.120000,1
467,MomBot2,MomBot1,66331.610000,1
468,BotB,MomBot2,66331.610000,1
469,MomBot2,BotC,66335.610000,1
470,BotC,MomBot1,66318.790000,1
471,MomBot1,MomBot2,66318.790000,1
472,MomBot1,RSIBot1,66499.630000,1
474,MomBot1,BotC,66503.630000,1
478,MomBot1,MomBot2,66544.690000,1
479,MomBot2,RSIBot1,66556.410000,1
480,BotB,MomBot2,66561.590000,1
484,MomBot1,MomBot1,66318.450000,1
487,MomBot2,MomBot1,66324.770000,1
488,MomBot2,BotC,66328.770000,1
490,MomBot1,MomBot1,66288.450000,1
492,BotB,MomBot1,66244.880000,1
493,MomBot1,MomBot2,66244.880000,1
494,MomBot2,MomBot1,66084.650000,1
495,MomBot2,MomBot2,66084.650000,1
497,BotB,MomBot1,66144.800000,1
498,MomBot2,MomBot2,66144.800000,1
499,MomBot1,MomBot1,65925.510000,1
500,MomBot2,MomBot2,65925.510000,1
502,MomBot2,MomBot1,65678.520000,1
503,BotC,MomBot2,65678.520000,1
504,BotC,BotB,65682.520000,1
506,BotB,MomBot2,65436.280000,1
508,BotC,MomBot1,65258.280000,1
509,MomBot1,MomBot2,65258.280000,1
512,BotC,MomBot1,65229.410000,1
513,MomBot1,MomBot2,65229.410000,1
516,MomBot2,MomBot1,65208.660000,1
517,MomBot1,MomBot2,65208.660000,1
520,RSIBot1,MomBot1,65331.320000,1
521,BotC,MomBot2,65331.320000,1
526,MomBot2,MomBot2,65384.100000,1
531,MomBot1,MomBot2,65646.470000,1
534,BotB,BotC,65658.250000,1
536,MomBot2,MomBot1,65482.450000,1
537,MomBot1,BotB,65486.450000,1
540,RSIBot1,MomBot1,65496.830000,1
549,MomBot1,MomBot2,65790.680000,1
550,MomBot2,MomBot2,65813.180000,1
558,MomBot2,MomBot1,65788.220000,1
560,MomBot2,MomBot1,65791.960000,1
565,MomBot1,MomBot1,65805.740000,1
566,BotC,BotB,65809.740000,1
570,MomBot2,MomBot2,65782.810000,1
571,MomBot2,BotB,65786.810000,1
573,MomBot1,MomBot1,65749.990000,1
574,MomBot1,MomBot2,65749.990000,1
577,MomBot1,MomBot1,65805.050000,1
578,MomBot2,MomBot2,65805.050000,1
579,MomBot2,MomBot2,65810.870000,1
