timestep,buyer,seller,price,quantity
479,BotA,BotB,2416.73,1
481,BotB,BotB,2418.05,1
482,BotB,BotB,2420.67,1
483,BotC,BotA,2420.29,1
486,BotC,BotA,2416.21,1
486,BotB,BotC,2416.21,1
487,BotB,BotA,2416.9,1
492,BotC,BotB,2420.56,1
495,BotA,BotB,2417.57,1
496,BotA,BotA,2417.07,1
497,BotA,BotA,2411.54,1
497,BotC,BotB,2411.54,1
497,BotB,BotC,2411.54,1
498,BotA,BotB,2412.38,1
499,BotC,BotA,2412.49,1
