timestep,buyer,seller,price,quantity
124,MomBot2,MomBot1,2442.530000,1
124,MomBot2,MomBot2,2442.530000,1
125,MomBot2,MomBot1,2441.870000,1
125,BotA,MomBot2,2441.870000,1
128,BotB,MomBot2,2442.560000,1
129,MomBot1,MomBot2,2444.000000,1
130,MomBot1,MomBot1,2444.390000,1
130,MomBot2,MomBot2,2444.390000,1
130,BotB,MomBot2,2444.580000,1
131,MomBot1,RSIBot1,2445.230000,1
131,MomBot2,MomBot1,2445.390000,1
132,MomBot1,MomBot1,2445.700000,1
132,MomBot2,RSIBot1,2445.700000,1
132,BotB,MomBot1,2445.740000,1
133,MomBot1,RSIBot1,2445.740000,1
133,MomBot2,BotA,2445.950000,1
133,BotB,BotA,2446.320000,1
134,MomBot1,BotA,2446.530000,1
134,MomBot2,BotA,2446.560000,1
134,BotA,BotC,2446.560000,1
135,MomBot1,RSIBot1,2447.530000,1
135,MomBot2,BotB,2448.000000,1
135,BotA,RSIBot1,2448.060000,1
136,MomBot1,BotB,2448.710000,1
136,MomBot2,BotB,2449.020000,1
136,BotB,BotB,2449.100000,1
136,BotC,MomBot2,2449.140000,1
137,MomBot1,RSIBot1,2449.300000,1
137,MomBot2,BotB,2449.440000,1
137,BotA,RSIBot1,2449.700000,1
138,MomBot2,RSIBot1,2449.730000,1
139,MomBot2,BotB,2450.190000,1
140,MomBot2,MomBot1,2452.240000,1
142,BotA,MomBot1,2446.650000,1
142,BotC,MomBot2,2446.650000,1
143,BotA,MomBot1,2446.200000,1
146,MomBot1,MomBot1,2445.700000,1
151,MomBot1,MomBot1,2445.630000,1
151,MomBot2,MomBot2,2445.630000,1
152,MomBot1,MomBot2,2445.700000,1
152,MomBot2,MomBot2,2445.710000,1
153,MomBot1,MomBot2,2446.200000,1
153,MomBot2,MomBot1,2446.770000,1
155,MomBot1,MomBot2,2446.770000,1
155,MomBot2,MomBot2,2447.260000,1
156,MomBot1,MomBot1,2447.460000,1
156,MomBot2,MomBot2,2447.460000,1
157,MomBot1,MomBot2,2448.040000,1
157,MomBot2,BotB,2449.700000,1
158,MomBot1,BotA,2449.710000,1
158,MomBot2,BotB,2450.770000,1
159,MomBot1,MomBot1,2451.000000,1
159,MomBot2,MomBot2,2451.000000,1
160,MomBot1,BotC,2451.260000,1
160,MomBot2,BotB,2451.460000,1
161,MomBot1,BotB,2451.980000,1
161,MomBot2,BotA,2452.040000,1
164,MomBot2,MomBot1,2450.400000,1
167,MomBot1,MomBot1,2452.570000,1
167,MomBot2,MomBot2,2452.570000,1
168,MomBot1,BotC,2452.800000,1
168,MomBot2,RSIBot1,2453.510000,1
169,MomBot1,MomBot1,2453.650000,1
169,MomBot2,MomBot2,2453.650000,1
170,MomBot1,BotA,2453.720000,1
170,MomBot2,BotB,2453.730000,1
171,MomBot2,BotC,2453.730000,1
173,MomBot2,RSIBot1,2453.790000,1
174,MomBot2,BotA,2454.030000,1
175,MomBot1,RSIBot1,2454.200000,1
175,MomBot2,RSIBot1,2454.260000,1
176,MomBot1,MomBot1,2454.480000,1
177,MomBot1,RSIBot1,2454.480000,1
177,MomBot2,MomBot1,2454.990000,1
180,BotA,MomBot1,2453.610000,1
180,BotB,MomBot2,2453.610000,1
182,MomBot1,MomBot1,2454.310000,1
183,MomBot1,MomBot2,2454.310000,1
184,MomBot2,MomBot2,2453.100000,1
185,MomBot2,MomBot1,2449.530000,1
185,BotB,MomBot2,2449.530000,1
186,BotC,MomBot1,2448.950000,1
186,MomBot1,MomBot2,2448.950000,1
187,MomBot2,MomBot1,2448.990000,1
187,BotC,MomBot2,2448.990000,1
188,BotA,MomBot1,2447.660000,1
188,BotB,MomBot2,2447.660000,1
189,MomBot1,MomBot1,2449.130000,1
189,BotA,MomBot2,2449.130000,1
190,BotC,MomBot2,2450.970000,1
191,BotC,MomBot2,2450.670000,1
194,BotC,MomBot1,2449.370000,1
197,BotC,MomBot1,2448.070000,1
197,MomBot1,MomBot2,2448.070000,1
198,BotA,MomBot1,2447.410000,1
198,MomBot1,MomBot2,2447.410000,1
199,MomBot2,MomBot1,2445.090000,1
199,MomBot1,MomBot2,2445.090000,1
200,MomBot1,MomBot1,2441.750000,1
200,MomBot2,MomBot2,2441.750000,1
200,BotA,BotC,2445.750000,1
201,MomBot2,MomBot1,2443.890000,1
201,MomBot2,MomBot2,2443.890000,1
201,BotB,BotC,2447.890000,1
202,BotC,MomBot1,2444.120000,1
202,BotB,MomBot2,2444.120000,1
